name,category,street,city,Website,phone_no,fb_address,contact_email
Asian Box,Cafe,"Campus Plaza 
4503 Campus Drive ","Irvine, CA 92612",http://www.asianbox.com,1 949-769-6196,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,1875 South Bascom Avenue,"Campbell, CA 95008
",http://www.asianbox.com,1 408-628-4228,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,"1401 Burlingame Avenue
","Burlingame, CA 94010
",http://www.asianbox.com,1 650-315-2582,https://www.facebook.com/AsianBoxEats/,
Atentti Gluten Free,Bakery,Superi 620  ,"Rosario, Santa Fe, Argentina",,54 341 297-7283,https://www.facebook.com/atenttiglutenfree/,
Athlete's Kitchen,Cafe,171 E Liberty St Unit 131,"Toronto, Ontario, Canada M6K 3P6",https://athleteskitchen.ca/,1 416-516-0101,,oscar@athleteskitchen.ca
Back to Eden Bakery,Food Truck,4804 SE Woodstock Blvd ,"
Portland, OR 97206
",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,
Back to Eden Bakery,Bakery,2217 NE Alberta St,"Portland, OR 97211
",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,
Back to Eden Bakery,Bakery,"2215 NE Alberta St
","Portland, OR 97211
",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,
Bake Free,Bakery/Cafe,"681/5 Patak Road
Karon","Mueang, Phuket 83100 Thailand
",http://www.bakefree.co/,66 94 583 3262,https://www.facebook.com/bakefreestore/,
Bake Free,Bakery/Cafe,"45/40 Moo 1 Soi Ta-iead, Chalong,","Muang, Phuket 83130, Thailand
",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,
Bake Free,Bakery/Cafe,"5/61, Moo Viset Rd, Rawai, Muang","Phuket 83130 Thailand
",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,
Bake Free,Bakery/Cafe,Qornet Chahwan,"Metn, Lebanon",http://www.bakefree.co/,961 76 972 979,https://www.facebook.com/bakefreestore/,
Bites of Delight,Bakery,"Rabweh, Sargi food street Dagher Building 1st Floor","Mount Lebanon, Lebanon",http://bites-of-delight.com,961 70 487 796,,
Bake Me Happy,Bakery,"106 E Moler St
","Columbus, OH 43207",https://www.bakemehappygf.com/,1 614-477-3642,https://www.facebook.com/BakeMeHappyGF/,bakemehappygf@gmail.com
Baker Street Bakeshop,Bakery,"order online or call
","Coopersburg, PA",http://bakerstreetbakeshop.com/,1 484-272-2193,https://www.facebook.com/BakerStreetBakeshop/,contactus@bakerstreetbakeshop.com
Bam Bam Bakery,Bakery,267 Commercial St,"Portland, ME 04101",http://bambambakery.com/,1 207-8994100,https://www.facebook.com/BamBamBakery/?ref=ts,info@bambambakery.com
Bangkok Canteen,Restaurant,72 Westgate St.,"Gloucester, UK GL1 2NZ",http://www.bangkokcanteen.co.uk,44 1452 306288,https://www.facebook.com/BKKCanteenUK/,info@bangkokcanteen.co.uk
Bare Naked Bakery and Cafe,Bakery/Cafe,16 Manetto Hill Road,"Plainview, NY 11803
",http://www.barenakedbakery.com/,1 516-513-0598,,info@barenakedbakery.com
Bare Naked Bakery and Cafe,Bakery/Cafe,2572 Merrick Rd,"Bellmore, NY 11710",http://www.barenakedbakery.com/,1 516-809-7370,,info@barenakedbakery.com
Be Bop,Restaurant,"viale col di lana, 4
","Milan, Italy 20136
",http://www.bebopristorante.it/,39 02 837 6972,https://www.facebook.com/BeBopRistorante,
Beach Town Bakery,Bakery,"307 Cedar Point Blvd.
","Cedar Point, NC 28584
",http://beachtownbakery.com/,1 252-503-3345,https://www.facebook.com/BeachTownBakery/,
Beaming Organic Super Food Cafe,Cafe,"605 N La Cienega Blvd.
","West Hollywood, CA 90069",http://www.livebeaming.com/,1 310-299-7691,,
Beaming Organic Super Food Cafe,Cafe,1426 Montana Avenue,"Santa Monica, CA 90403",http://www.livebeaming.com/,1 310-299-7622,,
Beaming Organic Super Food Cafe,Cafe,300 E Colorado Blvd #201,"Pasadena, CA 91101
",http://www.livebeaming.com/,1 626-360-3103,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,"131 S. Barrington Avenue
","Los Angeles, CA 90049
",http://www.livebeaming.com/,,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,"10250 Santa Monica Blvd
","Los Angeles, CA 90067",http://www.livebeaming.com/,1 310-421-4500,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,"LAX @ Terminal 1
Terminal 1, Southwest","
Los Angeles, CA",http://www.livebeaming.com/,,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,"7863 Girard Ave, Suite 201","
La Jolla, CA 92037
",http://www.livebeaming.com/,1 858-263-1702,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,"7710 El Camino Real
","La Costa, CA 92009",http://www.livebeaming.com/,1 760-944-3331,,isabelle.deburgh@livebeaming.com
Beaming Organic Super Food Cafe,Cafe,2683 Via de la Valle,"
Del Mar, CA 92014
",http://www.livebeaming.com/,1 858-481-1222,,isabelle.deburgh@livebeaming.com
Bears & Raccoons,Cafe,"21 rue Richard Lenoir
","Paris, France 75011",http://bearsandraccoons.com/,33 9 51 67 87 71,https://www.facebook.com/bearsandraccoons/,bearsandraccoons@gmail.com
Beefsteak,Cafe,7661 Melrose Ave,"
Los Angeles, CA 90046
",https://www.beefsteakveg.com/,1 323-424-7443,,INFO@BEEFSTEAKVEG.COM
Beiju ,Cafe/Restaurant,"Street of the European Champions
 28/198, Store 315A
 ","Porto, Portugal 4350-414
",https://beijutapiocaria.com,351 21 605 2532,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com
Beiju ,Cafe/Restaurant,"Rua de Santa Catarina 326A, store 4.07","
Porto, Portugal 4000-443
",https://beijutapiocaria.com,351 21 605 2532,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com
Beiju ,Cafe/Restaurant,Amoreiras Shopping Center - Piso 1 Av. Eng. Duarte Pacheco,"Lisbon, Portugal 1250-096",https://beijutapiocaria.com,,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com
Beiju ,Cafe/Restaurant,"Rua Dom Duarte
4A Santa Maria Maior","
Lisbon, Portugal 1100-198",https://beijutapiocaria.com,351 21 605 2532,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com
Beiju ,Cafe/Restaurant,"National Road 9 Cascais Kitchen 
Kiosk 4 Cascais
","Portugal 2645-543
",https://beijutapiocaria.com,351 21 605 2532,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com
Benefit Your Life Gluten Free Market & Bakery,Bakery,"620 N Campbell Station Rd, Ste 24","Knoxville, TN 37934",http://www.benefityourlife.com/,1 865-288-3193,https://www.facebook.com/Benefit-Your-Life-Gluten-Free-Market-Bakery-263566147733/?ref=bookmarks,
Better Bites Bakery,Bakery,"11190 Circle Dr
","Austin, TX 78736
",http://www.betterbitesbakery.com,1 512-350-2271,https://www.facebook.com/Betterbitesbakery/,Rachel@betterbitesbakery.com
Beyond Bread,Bakery,Selfridges Food Hall Selfridges,"400 Oxford Street London, UK W1A 1AB",http://www.beyondbread.co.uk/,44 (0) 2073 183 069,https://www.facebook.com/GlutenFreeBeyondBreadBakery/,info@beyondbread.co.uk
Beyond Bread,Bakery,Islington 267 Upper Street,"London, UK N1 2UQ",http://www.beyondbread.co.uk/,44 (0) 2071 833 213,https://www.facebook.com/GlutenFreeBeyondBreadBakery/,info@beyondbread.co.uk
Beyond Bread,Bakery,Fitzrovia 2 Charlotte Place,"London, UK W1T 1SB",http://www.beyondbread.co.uk/,44 (0) 2076 367 055,https://www.facebook.com/GlutenFreeBeyondBreadBakery/,info@beyondbread.co.uk
Big Mike's Gluten Free,Bakery,4602 Coral Ridge Dr,"Coral Springs, FL 33076",https://www.bigmikesglutenfree.com/,1 954-906-8580,https://www.facebook.com/Big-Mikes-Gluten-Free-Baking-Company-538102126295038/,bigmikesglutenfree@gmail.com
Bistro Manalu,Restaurant,Piazza della Vittoria 9,"
Livorno, Italy 57125",http://www.bistrotmanalu.it,39 0586 958326,https://www.facebook.com/bistrotmanalu,
BitterSweet Gluten Free Bakery,Bakery,2105 Cliff Road,"Eagan, MN 55122",http://bittersweetgf.com/,1 651-686-0112,,info@bittersweetgf.com 
Black Ruby Bakeries,Bakery,841 High Street,"Thornbury, Victoria, Australia 3071",,Phone: +61 3 9484 9608,https://www.facebook.com/blackrubybakeries/,
Blondies Vegan Bakery & Cafe,Bakery/Cafe,870 N Congress Ave Suite 110,"Boynton Beach, FL 33426",https://www.blondiesvegan.com/,1 561-767-9066,https://www.facebook.com/blondiesveganbakery/,
Blooming Beets,Restaurant,3303 30th St,"Boulder, CO 80301",http://www.bloomingbeets.com/,1 303-443-3479,https://www.facebook.com/bloomingbeets,iva@bloomingbeets.com
Breakaway Bakery,Bakery,"5264 W. Pico Blvd.
","Los Angeles, CA 90019
",http://breakawaybakery.com/,1 310-968-9380,,breakawaybakery@gmail.com
Brightwok Kitchen,Cafe,21 E Adams St.,"Chicago, IL 60603",https://www.facebook.com/brightwok,1 312-583-0729,https://www.facebook.com/brightwok,hi@brightwok.com
Brio Gluten Free Bakery,Bakery,"Piazzetta Napoleone, 10 San Martino
","Buon Albergo, Italy 37036
",http://www.brioglutenfreebakery.com/,39 327 244 5333,https://www.facebook.com/Brio-Gluten-Free-Bakery-1475758559376276/,
Buddha-Full,Cafe,"106 West 1st Street
","North Vancouver, British Columbia, Canada V7M 1A9",https://www.buddha-full.ca,1 604-973-0231,https://www.facebook.com/Buddhafullcafe,info@buddha-full.ca
Bulletproof Coffee,Cafe,"3110 Main St
","Santa Monica, CA 90405
",https://bulletproofcoffee.com/welcome,1 310-399-1764,,
Bulletproof Coffee,Cafe,300 S Santa Fe Ave,"
Los Angeles, CA 90013
",https://bulletproofcoffee.com/welcome,1 213-265-7040,https://www.facebook.com/Bulletproof/,
Bunch Bakeshop,Bakery,"4647 Highway 280
","Birmingham, AL 35242",http://thefunkymuffinbakery.com/,1 205-408-9825,https://www.facebook.com/TheFunkyMuffinBakery/,info@bunchbakeshop.com
Bunner's,Bakery,244 Augusta Ave,"Toronto, Ontario, Canada M5T 2L7",http://www.bunners.ca/,1 647-350-2975,https://www.facebook.com/BunnersBakeShop,junction@bunners.ca
Bunner's,Bakery,3054 Dundas St. West,"Toronto, Ontario, Canada M6P 1Z7",http://www.bunners.ca/,1 647-352-2975,https://www.facebook.com/BunnersBakeShop,junction@bunners.ca
By the Way Bakery,Bakery,1236 Lexington Avenue,"New York, NY 10028",http://www.btwbakery.com,1 212-988-3300,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com
By the Way Bakery,Bakery,2442 Broadway,"New York, NY 10024",http://www.btwbakery.com,1 212-877-0806,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com
By the Way Bakery,Bakery,"574 Warburton Ave
","Hastings-on-Hudson, NY 10706",http://www.btwbakery.com,1 914-478-0555,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com
By the Way Bakery,Bakery,19 East Putnam Avenue,"Greenwich, CT 06830",http://www.btwbakery.com,1 203-489-3610,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com
Cafe Avalaun,Cafe/Restaurant,"4640 Richmond Road 
","Warrensville Heights, OH 44128",http://www.cafeavalaun.com,1 216-245-6666,http://www.facebook.com/cafeavalaun,cafeavalaun@gmail.com
Cafe Henkel,Cafe,"102 Henkel Street
","Brunswick, Victoria, Australia 3056",,61 3 9381 0099,https://www.facebook.com/cafehenkel/?ref=br_rs,
Cafe Mareva,Cafe,"38 Rue du Faubourg-du-Temple
","Paris, France 75011
",https://www.cafemareva.com/,33 1 43 38 64 57,https://www.facebook.com/cafemareva/,info@cafemareva.com
Cafe Umami,Cafe,60 Goldie Street Wynyard,"Tasmania, Australia 7325",,61 3 6442 4799,https://www.facebook.com/cafeumami60/,
Caffe Strada,Cafe,197 Upper Heidelberg Rd,"Ivanhoe, Victoria, Australia 3079",http://www.caffestrada.com.au,61 3 9497 4875,https://www.facebook.com/Caffe-Strada-150125135026435/,info@caffestrada.com.au
Cal Marius,Restaurant,"Mallorca, 449
","Barcelona, Spain 08013
",http://www.calmarius.es,34 674 91 06 70,https://www.facebook.com/calmarius452/,info@calmarius.es
Capitol Cider,Restaurant,818 E Pike St,"Seattle, WA 98122",http://capitolcider.com,1 206-397-3564,https://www.facebook.com/CapitolCider,info@capitolcider.com
Carmine,Bakery,"Corso Antonio Gramsci 22
","Pistoia, Italy 51100
",,39 393 102 2864,https://www.facebook.com/carminebiorganic/?ref=nf,
Celiac Specialties Gluten Free Bakery,Bakery,1928 Star Batt Dr Suite D,"Rochester Hills, MI 48309",http://www.baking-glutenfree.com/,1 248-860-0680,https://www.facebook.com/CeliacSpecialties/,priscilla@baking-glutenfree.com
Celicioso ,Bakery,"Calle Barquillo, 19","Madrid, Spain 28004",http://www.celicioso.com/default.aspx,34 915 31 88 87,,
Celifamily Gluten Free,Bakery,Ocarrol 560,"Rancagua, Chile 2840483",http://www.celifamilyglutenfree.cl,56 9 5284 3115,https://www.facebook.com/celifamilyglutenfree/,
Chaia ,Restaurant,"3207 Grace Street, NW","Washington, D.C. 20007
",https://www.chaiadc.com/,1 202-333-5222,https://www.facebook.com/ChaiaDCtacos,info@chaiadc.com
Chambelland,Bakery,"14 rue ternaux
","Paris, France 75011
",http://chambelland.com/,33 1 43 55 07 30,https://www.facebook.com/boulangeriechambelland?fref=ts,contact@chambelland.com
Chambelland,Bakery,"42, University, Avenue","Brussels, Belgium 1050",http://chambelland.com/,32 2 751 48 44,https://www.facebook.com/boulangeriechambelland?fref=ts,contact@chambelland.com
Cherbourg Bakery,Bakery,"541 S Drexel Ave
","Columbus, OH 43209
",http://www.cherbourgbakery.com/,1 614-725-4560 ,https://www.facebook.com/Cherbourg-Bakery-171087912917457/,info@cherbourgbakery.com
Chiang Mai Gluten-free CakeAway,Bakery/Cafe,Wuolai Road Lane 2 19,"
Chiang Mai, Thailand 50100",,66 93 291 9361,https://www.facebook.com/Chiang-Mai-Gluten-free-CakeAway-Pink-House-Garden-372551956286935/,
Choice Healthy Foods,Bakery,"7/F BT Centre
23 Wong Chuk Hang Rd","Aberdeen, Hong Kong 2677 7808",,852 2345 8370,https://www.facebook.com/choicehealthyfoods/,
Cloud 9 Specialty Bakery,Bakery,1025 Royal Avenue,"New Westminster, British Columbia, Canada V3M 1K3",http://www.cloud9specialtybakery.com,1 604-249-5008,https://www.facebook.com/Cloud9SpecialtyBakery/,info@cloud9specialtybakery.com
Cocoabeans Bakeshop,Cafe/Bakery,"774 Corydon Avenue
","Winnipeg, Manitoba, Canada R3M 0Y1",http://www.cocoabeansbakeshop.com,1 204-691-6046,,orders@cocoabeansbakeshop.com
Colors,Restaurant,"178 Stanton Street
","New York, NY 10002
",http://www.colorsrestaurantnyc.com/,1 212-777-8443,,
Confluence Kombucha,Cafe,4507 Manchester Avenue,"St. Louis, MO 63110",http://www.confluencekombucha.com,1 314-833-3059,https://www.facebook.com/confluencekombucha,
Cookies and Scream,Bakery,130 Holloway Road,"London, UK N7 8JE",http://www.cookiesandscream.com/,44 7778 691519,,chick@cookiesandscream.com
Cooking Time Gluten Free,Bakery,"Laprida 1954
Recoleta, Distrito Federal","Buenos Aires, Argentina 1425",https://www.facebook.com/CookingTimeBsAs/,54 11 4807-1272,https://www.facebook.com/CookingTimeBsAs/,
Coquette's Bistro & Bakery,Restaurant,616 S Tejon St,"Colorado Springs, CO 80903",http://coquettesbistro.com/,1 719-685-2420,https://www.facebook.com/CoquettesBistro/,
Corbett Fish House,Restaurant,19206 SE 1st Street,"Camas, WA 98607",http://www.corbettfishhouse.com/,1 360-258-1609,https://www.facebook.com/corbettfishhouse/,mediam@corbettfishhouse.com
Corbett Fish House,Restaurant,4343 SE Hawthorne Blvd,"
Portland, OR 97215
",http://www.corbettfishhouse.com/,1 503-548-4434,https://www.facebook.com/corbettfishhouse/,mediam@corbettfishhouse.com
Corbett Fish House,Restaurant,"5901 SW Corbett Ave
","Portland, OR 97239
",http://www.corbettfishhouse.com/,1 503-246-4434,https://www.facebook.com/corbettfishhouse/,mediam@corbettfishhouse.com
Corbin's Confections,Bakery,18 E Main St,"Salem, VA 24153",,1 540-404-0300,https://www.facebook.com/Corbinsconfections/,
Cosme,Restaurant,35 E 21st St,"New York, NY 10010",http://www.cosmenyc.com/,1 212-913-9659,,
Cultured Caveman,Food Truck,"Check website for schedule
","Portland, OR",http://culturedcavemanpdx.com/,,https://www.facebook.com/CulturedCavemanPDX/,CulturedCavemanPDX@gmail.com
Cultured Caveman,Restaurant,8233 N Denver Ave,"Portland, OR 97217",http://culturedcavemanpdx.com/,1 971-254-4948,https://www.facebook.com/CulturedCavemanPDX/,CulturedCavemanPDX@gmail.com
Culver City Salads,Food Truck,"Check website for schedule
","Vancouver, Canada",http://www.culvercitysalads.com,1 604-306-0383,,info@culvercitysalads.com
Cycle Bistro,Cafe,"Dubai Motor City Autodrome
","Dubai, UAE 478414",http://thecyclebistro.com/,971 4 425 3000,https://www.facebook.com/thecyclebistro/,frane@thecyclehub.com
Dana's Bakery,Bakery,"1011 Third Ave (at 60th St.)
","New York, NY 10065
",https://www.danasbakery.com/,1 800-477-1816,,info@danasbakery.com
De Healthy Baker,Bakery,3848 Main Street,"Niagra Falls, Ontario, Canada L2G 6B2",http://www.dehealthybaker.ca,1 905-295-6500,,dehealthybaker@gmail.com
Deanna's Gluten Free,Bakery,"2250 S Escondido Blvd, Ste 110","Escondido, CA 92025",https://www.deannasglutenfree.com/,1 760-432-6100,https://www.facebook.com/Deannas-Gluten-Free-Bakery-87470539141/,Info@DeannasGF.com
Deby's GF,Bakery,"2369 South Trenton Way, Suite M
","Denver, CO, 80231",https://debysglutenfree.com/,1 303-283-4060,,info@debysglutenfree.com
Dedicated,Bakery,"4500 E Speedway Blvd, Suite 41
","Tucson, AZ 85712
",https://www.dedicatedgf.com,1 520-209-2872,,admin@dedicatedgf.com
Dee's One Smart Cookie,Bakery,103 New London Turnpike,"
Glastonbury, CT 06033
",http://www.deesonesmartcookie.com/,1 860-633-8000,https://www.facebook.com/Dees-One-Smart-Cookie-Allergen-Free-Bakery-140459231851/,dee@deesonesmartcookie.com
Defloured,Bakery,1447 W Balmoral Ave.,"Chicago, IL 60640",http://deflouredbakery.com/,1 773-234-5733,https://www.facebook.com/Defloured/,info@deflouredbakery.com
Delhicious ,Restaurant,91 Upper Heidelberg Road,"Ivanhoe, Victoria, Australia 3079",http://delhiciouscuisine.com.au,61 3 9499 1053,https://www.facebook.com/Delhicious-344349635939646/?hc_ref=PAGES_TIMELINE&fref=nf,info@delhiciouscuisine.com.au
Delish Gluten Free Bakery,Bakery,1730 Coast Meridian Rd,"Port Coquitlam, British Columbia, Canada V3C 6R8",http://delishglutenfree.com,1 604-945-9994,,info@delishglutenfree.com
Infiniti C,Bakery,"Shop 6,40 Forbes Street The Hudson","Kennedy Town, Hong Kong",,852 3460 4996,https://www.facebook.com/Infinitichk/,
Dempsey Bakery,Bakery,"323 S Cross St., Ste B
","Little Rock, AR 72201
",http://www.dempseybakery.com/,1 501-375-2257,https://www.facebook.com/Dempsey-Bakery-211651025519197/,
Different Blend Bakery,Bakery,"3403 Carman Rd
","Schenectady, NY 12303
",http://www.differentblendbakery.com,1 518-355-3008,https://www.facebook.com/DifferentBlend,
Donna Marie's Gluten Free Bakery,Bakery,"1694 Penfield Rd
","Rochester, NY 14625",http://www.donnamariesbakery.com/,1 585-397-0649,https://www.facebook.com/RochestersBestGF/,Info@DonnaMariesBakery.com
Duke's Bakery,Bakery,162 Columbia St,"Fall River, MA 02721",,1 508-837-0624,https://www.facebook.com/dukesbakery/,
Eat Performance,Cafe/Online Store,Rennbahnstr 87,"Berlin, Germany 13086",https://eat-performance.com,49 30 4432640,https://www.facebook.com/eatperformance/,info@eat-performance.com
Eats and Treats,Cafe/Restaurant,1644 Main Street,"Philomath, OR 97370",http://eats-treats.com/,1 541-307-0225,,mchenry.lynda@gmail.com
Ecru,Restaurant,Via Acciaioli 13,"
Rome, Italy 00186
",http://www.ecrurawfood.it/,39 393 102 2864,https://www.facebook.com/ecrurawfood/?fref=ts,
El Arepazo,Restaurant,181 Augusta Ave.,"Toronto, Ontario, Canada M5T 2L4",http://arepazo.ca/,1 647-729-5290,https://www.facebook.com/arepazoTO,info@arepazo.ca
Elegant Elephant Baking Co.,Food Truck,150 Shelton Mcmurphey Blvd,"Eugene, OR 97401",http://www.elegantelephantbaking.com/,1 541-556-7540,https://www.facebook.com/ElegantElephantBakingCo/?fref=ts,elegantelephantbaking@gmail.com
Elemental Eats,Food Truck,"2 Mana Esplanade
","Porirua, New Zealand 5381",http://elementaleats.co.nz,,https://www.facebook.com/ElementalEats/posts/1018686268217260:0,elementaleats@gmail.com
Elisa's Love Bites,Bakery,,"Brooklyn, NY",https://elisaslovebites.com/,,https://www.facebook.com/elisaslovebites,info@elisaslovebites.com
Erik's Fish and Chips,Food Truck,54 Ardmore St,"Wanaka, New Zealand 9305",http://www.eriksfishandchips.co.nz,64 03-441-3474,https://www.facebook.com/eriksfishandchips/,anna@eriksfishandchips.co.nz 
Erin McKenna’s Bakery,Bakery,"236 North Larchmont Blvd.
","Los Angeles, CA 90004
",https://www.erinmckennasbakery.com/,1 855-462-2292,https://www.facebook.com/erinmckennasbakery,info@erinmckennasbakery.com
Ethel's Baking Company,Bakery,22314 Harper Ave.,"St. Clair Shores, MI 48080",http://ethelsedibles.net/,1 586-552-5110,https://www.facebook.com/EthelsEdiblesGF,info@ethelsedibles.net
Everybody Eats,Bakery,"294 3rd Ave
","Brooklyn, NY 11215
",http://everybodyeats-inc.com/,1 718-369-7444,https://www.facebook.com/Everybody-Eats-INC-1029513900450798/?ref=aymt_homepage_panel,info@everybodyeats-inc.com
Ezra's Englighted Cafe,Cafe,"6516 Ferguson St
","Indianapolis, IN 46220
",https://ezrasenlightenedcafe.com/,1 317-255-3972,https://www.facebook.com/EzrasEnlightenedCafe,info@ezrasenlightenedcafe.com
Fatamorgana ,Ice Cream,"Via Adda, 103 - 00198
","Rome, Italy",http://www.gelateriafatamorgana.com/web/,39 06 8880 5474,https://www.facebook.com/Fatamorgana.Gelaterie/,info@fmgelato.com
Fatamorgana ,Ice Cream,"12021 Ventura Blvd
","Los Angeles, CA 91604",http://www.gelateriafatamorgana.com/web/,1 818-606-0273,https://www.facebook.com/Fatamorgana.Gelaterie/,
Feed Me Primal,Cafe,Unit 31 Boxpark,"Croydon, UK CR0 1LD",https://www.feedmeprimal.co.uk,,https://www.facebook.com/feedmeprimal/,info@feedmeprimal.co.uk
Feel Good Guru,Catering/Meal Delivery,135 Tecumseth Street,"Toronto, Ontario, Canada M6J 2H2",http://feelgoodguru.com/,1 647-748-5800,,moira@feelgoodguru.com
Firin,Bakery,"Hawalli, Tunis Street Block 3
Building 213/1, Store 9","Kuwait City, Kuwait",https://www.firin.co/,965 22666100,https://www.facebook.com/firinbakery,contact@firin.co
