name,category,city,Website,phone_no,fb_address,contact_email,lat,lng,map_id
AnnaB's Gluten Free Bakery,Bakery,"7426 Brandy Creek Dr, Mechanicsville, VA 23111, USA",http://www.annabsglutenfree.com,1 804-822-0656,,annabglutenfree@gmail.com,37.6117,-77.33316,https://goo.gl/maps/XvG5LuiZVkjFhKtX9
Annie May's Sweet Cafe,Bakery/Cafe,"3110 Frankfort Ave, Louisville, KY 40206, USA",http://www.anniemayssweetcafe.com/,1 502-384-2667,,info@anniemayssweetcafe.com,38.25415,-85.67667,https://goo.gl/maps/sgQhWTSqq1nRpr1U8
Ap?ti - Cuisine V?g?tale,Cafe/Restaurant,"72 Rue du Cherche-Midi, 75006 Paris, France",http://www.apeti.fr/,33 1 43 22 17 98,https://www.facebook.com/apetirestaurant,,48.84827,2.32394,https://goo.gl/maps/WX8avtMyYfBb1mS56
Apres Food,Restaurant,"72 St John St, Farringdon, London EC1M 4DT, UK",https://www.apresfood.com/,44 20 7686 8888 +33 1 43 22 17 98,https://www.facebook.com/ApresFoodCo/,hello@apresfood.com,51.521389,-0.10168,https://goo.gl/maps/z773fbVB7nLvWNVf9
Arepera Du Plateau,Cafe/Restaurant,"73 Rue Prince Arthur E, Montr?al, QC H2X 1B4, Canada",http://www.arepera.ca,1 514-508-7267,https://www.facebook.com/areperamontreal/,contact@arepera.ca,45.51475,-73.57209,https://goo.gl/maps/N3Dd8LMc5MnRDdYFA
Around my Gluten Free Table,Bakery,"411 Huronia Rd Unit 10, Barrie, ON L4N 9B3, Canada",http://www.amgft.com/,1 705-722-0668,https://www.facebook.com/aroundmyglutenfreetablebarrie,,44.35251,-79.66444,https://goo.gl/maps/6fK99EotsRWLnZDj9
As de Bastos Madrid,Restaurant,"Calle de Castilla, 62, 28039 Madrid, Spain",https://www.asdebastos.es/madrid/,34 917 95 78 55,https://es-la.facebook.com/RestauranteAsdeBastos/,info@asdebastos.es,40.4532,-3.70796,https://g.page/as-de-bastos-madrid?share
As de Bastos Majadahonda,Restaurant,"Calle Dr. Bastos, 9, 28220 Majadahonda, Madrid, Spain",https://www.asdebastos.es/majadahonda/,34 916 38 25 14,https://es-la.facebook.com/RestauranteAsdeBastos/,info@asdebastos.es,40.47624,-3.87535,https://g.page/as-de-bastos-majadahonda?share
Asian Box Santa Monica,Cafe,"2121 Cloverfield Blvd #2, Santa Monica, CA 90404, USA",http://www.asianbox.com,1 424-280-4607,https://www.facebook.com/AsianBoxEats/,,34.02167,-118.46573,https://goo.gl/maps/hG9WoSSJfPvmGw4J9
Asian Box San Jose,Cafe,"1078 E Brokaw Rd, San Jose, CA 95131, USA",http://www.asianbox.com,1 408-441-0477,https://www.facebook.com/AsianBoxEats/,,37.38268,-121.89678,https://goo.gl/maps/pdKnXq25qjfHYGLj6
Asian Box San Francisco,Cafe,"2031 Chestnut St, San Francisco, CA 94123, USA",http://www.asianbox.com,1 415-288-3688,https://www.facebook.com/AsianBoxEats/,,37.8006,-122.43671,https://goo.gl/maps/Rmr6avr8mESSh1cPA
Asian Box Palo Alto,Cafe,"855 El Camino Real, Palo Alto, CA 94301, USA",http://www.asianbox.com,1 650-391-9305,https://www.facebook.com/AsianBoxEats/,,37.4382,-122.1609,https://goo.gl/maps/GmUVckEf2qj9YkBg6
Asian Box Mountain View,Cafe,"142 Castro St, Mountain View, CA 94041, USA",http://www.asianbox.com,1 650-584-3947,https://www.facebook.com/AsianBoxEats/,,37.39458,-122.07886,https://goo.gl/maps/Mn6LxE7WZvAG44MWA
Asian Box Los Angeles #1,Cafe,"10250 Santa Monica Blvd, Los Angeles, CA 90067, USA",http://www.asianbox.com,1 310-203-9702,https://www.facebook.com/AsianBoxEats/,,34.0586,-118.419,https://goo.gl/maps/tLPyYe4Pqy9zCLBL9
Asian Box Los Angeles #2,Cafe,"445 S Figueroa St, Los Angeles, CA 90071, USA",http://www.asianbox.com,1 213-265-7955,https://www.facebook.com/AsianBoxEats/,,34.05312,-118.25733,https://goo.gl/maps/uXGuGzKxMm36ut3r7
Asian Box Irvine,Cafe,"4503 Campus Dr, Irvine, CA 92612, USA",http://www.asianbox.com,1 949-769-6196,https://www.facebook.com/AsianBoxEats/,,33.66605,-117.85428,https://goo.gl/maps/rxH3ewqyuU31LTN46
Asian Box Campbell,Cafe,"1875 S Bascom Ave, Campbell, CA 95008, USA",http://www.asianbox.com,1 408-628-4228,https://www.facebook.com/AsianBoxEats/,,37.28839,-121.93258,https://goo.gl/maps/7RTdKfVJC9GJR9Xd8
Asian Box Burlingame,Cafe,"1401 Burlingame Ave, Burlingame, CA 94010, USA",http://www.asianbox.com,1 650-315-2582,https://www.facebook.com/AsianBoxEats/,,37.5776,-122.3481,https://goo.gl/maps/JbiiiNfQkZzRCeQo7
Athlete's Kitchen,Cafe,"171 E Liberty St #131, Toronto, ON M6K 3P6, Canada",https://athleteskitchen.ca/,1 416-516-0101,,oscar@athleteskitchen.ca,43.63841,-79.41513,https://goo.gl/maps/yFekHo5hYdJf1fbx8
Back to Eden Food Cart,Food Truck,"4804 SE Woodstock Blvd, Portland, OR 97202, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.47921,-122.623619,https://goo.gl/maps/hTYeuTNoMhRB1Qe37
Back to Eden Bakery,Bakery,"2215-2217 NE Alberta St, Portland, OR 97211, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.55911,-122.66563,https://goo.gl/maps/KuTqDeyy6WErdkoq8
Back to Eden Bakery Food Truck,Bakery,"4804 SE Woodstock Blvd, Portland, OR 97202, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.47921,-122.62362,https://goo.gl/maps/GXvRdBPMS1onhZYU9
Bake Free Karon,Bakery/Cafe,"681/5 Patak Road, Karon, Muang, Phuket 83100, Thailand",http://www.bakefree.co/,66 94 583 3262,https://www.facebook.com/bakefreestore/,,7.82099,98.30433,https://goo.gl/maps/HVGG6z6fsswRnrAPA
Bake Free Soi Ta-iead,Bakery/Cafe,"45/40 Moo 1 Soi Ta-iead, Chalong, Muang, Phuket 83130, Thailand",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,,7.85043,98.35079,https://goo.gl/maps/GVNQoy5R5Gsg7f1c6
Bake Free,Bakery/Cafe,"Rawai, Mueang Phuket District, Phuket 83100, Thailand",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,,7.84787,98.29848,https://goo.gl/maps/6sgFxA3aNv9WUkC28
Bites of Delight,Bakery,"Rabyeh, Sargi food street, Nadim dagher building, 1st floor? Rabyeh? Lebanon",http://bites-of-delight.com,961 70 487 796,,,31.974178,35.884238,https://goo.gl/maps/2ia5ApBys5UPPKRg8
Bake Me Happy,Bakery,"106 E Moler St, Columbus, OH 43207, USA",https://www.bakemehappygf.com/,1 614-477-3642,https://www.facebook.com/BakeMeHappyGF/,bakemehappygf@gmail.com,39.93523,-82.99271,https://goo.gl/maps/1ym4jwPX9ZRjVjd7A
Baked2GO,Bakery,4255 Boul. Saint Laurent,https://www.baked2go.com,1 514-844-3232,,info@baked2go.com,45.51858,-73.58261,https://goo.gl/maps/xsxvgZzGzqjb7GoEA
Baker Street Bakeshop,Online,,http://bakerstreetbakeshop.com/,1 484-272-2193,https://www.facebook.com/BakerStreetBakeshop/,contactus@bakerstreetbakeshop.com,,,
Bam Bam Bakery,Bakery,"267 Commercial St, Portland, ME 04101, USA",http://bambambakery.com/,1 207-8994100,https://www.facebook.com/BamBamBakery/?ref=ts,info@bambambakery.com,43.65882,-70.249062,https://goo.gl/maps/mnzN7FzY6rWYpAZp7
Bangkok Canteen Gloucester,Restaurant,"72 Westgate St, Gloucester GL1 2NZ, UK",http://www.bangkokcanteen.co.uk,44 1452 306288,https://www.facebook.com/BKKCanteenUK/,info@bangkokcanteen.co.uk,51.86666,-2.24828,https://goo.gl/maps/7459XJFa3yfzKxAdA
Bar Italia,Cafe/Restaurant,"Av. Italia 1423, Providencia, Regi?n Metropolitana, Chile",http://www.baritalia.cl/#/inicio/,56 2 2503 2870,,,-33.44396,-70.62577,https://goo.gl/maps/imUAsY38RjZJaCQP7
Bare Naked Bakery and Cafe Bellmore,Bakery/Cafe,"2572 Merrick Rd, Bellmore, NY 11710, USA",http://www.barenakedbakery.com/,,,info@barenakedbakery.com,40.66236,-73.53039,https://goo.gl/maps/W3Mp5x5ra6CW4cRX6
Bare Naked Bakery and Cafe Planview,Bakery/Cafe,"16 Manetto Hill Rd, Plainview, NY 11803, USA",http://www.barenakedbakery.com/,1 516-513-0598,,info@barenakedbakery.com,40.77757,-73.46712,https://goo.gl/maps/tN3qnrRFAeZkWDyc6
Be Bop,Restaurant,"Viale Col di Lana, 4, 20136 Milano MI, Italy",http://www.bebopristorante.it/,39 02 837 6972,https://www.facebook.com/BeBopRistorante,,45.452143,9.182287,https://goo.gl/maps/dZhGY92YP644F3YR7
Be Free Libre de Gluten,Bakery,"Calle 118 105, San Jos?, San Rafael, Costa Rica",,506 2289 3631,https://www.facebook.com/befreecostarica/,,9.931425,-84.131008,https://goo.gl/maps/N7yTQmeXnXQigDBy6
Beach Town Bakery,Bakery,"307 Cedar Point Blvd, Cedar Point, NC 28584, USA",http://beachtownbakery.com/,1 252-503-3345,https://www.facebook.com/BeachTownBakery/,,34.677028,77.103037,https://goo.gl/maps/Qy3yXDZvyxXu5i2s6
Beaming Organic Super Food Cafe La Cienega Blvd,Cafe,"605 N La Cienega Blvd, Los Angeles, CA 90069, USA",http://www.livebeaming.com/,1 310-299-7691,,,34.082255,-118.376794,https://goo.gl/maps/yF2J7ofnpH2VtMwR9
Beaming Organic Super Food Cafe Montana Ave,Cafe,"1426 Montana Ave, Santa Monica, CA 90403, USA",http://www.livebeaming.com/,1 310-299-7622,,,34.032641,118.494478,https://goo.gl/maps/tUQpTRC93R8Z556V7
Beaming Organic Super Food Cafe Pasadena at Equinox,Cafe,"300 E Colorado Blvd, Pasadena, CA 91101, USA",http://www.livebeaming.com/,1 626-360-3103,,isabelle.deburgh@livebeaming.com,34.145149,-118.145452,https://goo.gl/maps/DSuNDMfn6zYAGaeX9
Beaming Organic Super Food Cafe Century City,Cafe,"10250 Santa Monica Blvd, Los Angeles, CA 90067, USA",http://www.livebeaming.com/,1 310-421-4500,,isabelle.deburgh@livebeaming.com,34.059965,118.419069,https://goo.gl/maps/hFMue4dVCt2jqDa19
Beaming Organic Super Food Cafe La Jolla,Cafe,"7863 Girard Ave suite 201, La Jolla, CA 92037, USA",http://www.livebeaming.com/,1 858-263-1702,,isabelle.deburgh@livebeaming.com,32.846637,-117.274092,https://goo.gl/maps/aQ8nTDLTWxPJYsQL6
Beaming Organic Super Food Cafe La Costa at Equinox,Cafe,"at La Costa Shopping Center 7710, El Camino Real, La Costa, CA 92009, United States",http://www.livebeaming.com/,1 760-944-3331,,isabelle.deburgh@livebeaming.com,33.084649,-117.267366,https://goo.gl/maps/aLQoZz6znbAvreen8
Beaming Organic Super Food Cafe Del Mar,Cafe,"2683 Via De La Valle, Del Mar, CA 92014, USA",http://www.livebeaming.com/,1 858-481-1222,,isabelle.deburgh@livebeaming.com,32.979446,-117.249817,https://goo.gl/maps/rdDqw8v3wYrm4gJPA
Bears & Raccoons,Cafe,"21 Rue Richard Lenoir, 75011 Paris, France",http://bearsandraccoons.com/,33 9 51 67 87 71,https://www.facebook.com/bearsandraccoons/,bearsandraccoons@gmail.com,48.855441,2.381825,https://goo.gl/maps/16XSEygNWAYTWjxa8
Beat Tha Wheat,Bakery,"7th Circle, Jaber Complex
next to Za?atar and Zeit super market
Amman, Jordan
",,962 7 9087 6721,https://www.facebook.com/BeatThaWheat,,31.975118,35.850902,https://goo.gl/maps/RA8mMY1DWq2ZCGkP6
Beiju Tapiocaria Via Catarina,Cafe/Restaurant,"Rua de Santa Catarina 312, 4000-446 Porto, Portugal",https://beijutapiocaria.com,351 21 587 3073,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com,41.148973,-8.605685,https://goo.gl/maps/zLFVVL6Fri5non2JA
Beiju Tapiocaria Amoreiras,Cafe/Restaurant,Amoreiras Shopping Center - Piso 1 Av. Eng. Duarte Pacheco,https://beijutapiocaria.com,,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com,38.723025,-9.162762,https://goo.gl/maps/NEYFkzbJrzoP2gbM7
Beiju Tapiocaria Cascais Kitchen,Cafe/Restaurant,"CascaiShopping, 2645-543 Alcabideche, Portugal",https://beijutapiocaria.com,351 21 605 2532,https://www.facebook.com/tapiocabeiju/,info@beijutapiocaria.com,38.739341,-9.397987,https://goo.gl/maps/UnH9CHVZgy2fyRkY7
Benefit Your Life Gluten Free Bakery & Cafe,Bakery/Cafe,"10420 Kingston Pike suite g, Knoxville, TN 37922, USA",http://www.benefityourlife.com/,1 865-288-3193,https://www.facebook.com/Benefit-Your-Life-Gluten-Free-Market-Bakery-263566147733/?ref=bookmarks,,35.897939,-84.128404,https://goo.gl/maps/jM9Kfbyov4t943NE8
Better Bites Bakery,Bakery,"11190 Circle Dr, Austin, TX 78736, USA",http://www.betterbitesbakery.com,1 512-350-2271,https://www.facebook.com/Betterbitesbakery/,Rachel@betterbitesbakery.com,30.223997,-97.953827,https://goo.gl/maps/T2132NRMaFhZ9Yc17
Beyond Bread Selfridges,Bakery,"Selfridges Food Hall, 400 Oxford St, Marylebone, London W1A 1AB, UK",http://www.beyondbread.co.uk/,44 (0) 2073 183 069,https://www.facebook.com/GlutenFreeBeyondBreadBakery/,info@beyondbread.co.uk,51.514815,-0.15367,https://goo.gl/maps/qYUDPGbMfdww2av98
Beyond Bread,Bakery,"2 Charlotte Pl, Fitzrovia, London W1T 1SB, UK",http://www.beyondbread.co.uk/,44 (0) 2076 367 055,https://www.facebook.com/GlutenFreeBeyondBreadBakery/,info@beyondbread.co.uk,51.5189712,-0.1364739,https://goo.gl/maps/WAY1Uu6FnJEFGZwv7
Big Mike's Gluten Free,Bakery,"5651 Coral Ridge Dr, Coral Springs, FL 33076, USA",https://www.bigmikesglutenfree.com/,1 954-906-8580,https://www.facebook.com/Big-Mikes-Gluten-Free-Baking-Company-538102126295038/,bigmikesglutenfree@gmail.com,26.2996845,-80.2791717,https://goo.gl/maps/Xs8nsxPig79ZfGig9
Biosphere Caf?,Cafe,"47 Rue de Laborde, 75008 Paris, France",http://biospherecafe.fr/en/,33 1 42 93 45 58,https://www.facebook.com/Biosph%C3%A8re-Caf%C3%A9-187142677980184/,,48.8754492,2.315615,https://goo.gl/maps/h46jYgxhjx3neBHU9
Manal? - Bistrot & Bakery Lab,Restaurant,"Piazza Elia Benamozegh, 15, 57125 Livorno LI, Italy",http://www.bistrotmanalu.it,39 0586 958326,https://www.facebook.com/bistrotmanalu,,43.548428,10.3070043,https://goo.gl/maps/6P4UfqRGQ7c8qGwN7
BitterSweet Gluten Free Bakery,Bakery,"2105 Cliff Rd #5, Eagan, MN 55122, USA",http://bittersweetgf.com/,1 651-686-0112,,info@bittersweetgf.com ,44.7908663,-93.2168527,https://goo.gl/maps/Su9kuF8ogfxTFBiWA
Blondies Vegan Bakery & Cafe,Bakery/Cafe,"870 N Congress Ave suite 110, Boynton Beach, FL 33426, USA",https://www.blondiesvegan.com/,1 561-767-9066,https://www.facebook.com/blondiesveganbakery/,,26.535448,-80.0913427,https://goo.gl/maps/SnQv29bgKUzUroGP7
Brightwok Kitchen,Cafe,"21 E Adams St, Chicago, IL 60603, USA",https://www.facebook.com/brightwok,1 312-583-0729,https://www.facebook.com/brightwok,hi@brightwok.com,41.87943,-87.6268263,https://goo.gl/maps/CNSjQRzXNqv9wRT1A
Brio Gluten Free Bakery,Bakery,"Piazzetta Napoleone, 37036 San Martino Buon Albergo VR, Italy",http://www.brioglutenfreebakery.com/,39 327 244 5333,https://www.facebook.com/Brio-Gluten-Free-Bakery-1475758559376276/,,45.422233,11.0895153,https://goo.gl/maps/tP3dGfn4H8tWveRK6
Buddha-Full,Cafe,"102-2120 Dollarton Hwy, North Vancouver, BC, Canada",https://www.buddha-full.ca,1 604-770-1032,https://www.facebook.com/Buddhafullcafe,info@buddha-full.ca,49.3056416,-123.0199975,https://goo.gl/maps/W4rq7M6N9WNmCfoWA
Buddha-Full,Cafe,"106 W 1st St #101, North Vancouver, BC V7M 1A9, Canada",https://www.buddha-full.ca,1 604-973-0231,https://www.facebook.com/Buddhafullcafe,info@buddha-full.ca,49.3121844,-123.0811624,https://goo.gl/maps/V3S6RPDbaxKpjjrn9
BÅL ,Cafe,"20 Avenue Trudaine, 75009 Paris, France",http://www.bul-baracannes.fr/,33 1 40 16 02 74,https://www.facebook.com/bulbaracannes/?fref=ts,,46.1022649,0.220262,https://goo.gl/maps/vTbrUTocL84gzuE78
Bulletproof Cafe Santa Monica,Cafe,"3110 Main St, Santa Monica, CA 90405, USA",https://bulletproofcoffee.com/welcome,1 310-399-1764,,,33.9974492,-118.4815155,https://goo.gl/maps/g5WJV4LgnGzMyDx8A
Bulletproof Coffee,Cafe,"300 S Santa Fe Ave, Los Angeles, CA 90013, USA",https://bulletproofcoffee.com/welcome,1 213-265-7040,https://www.facebook.com/Bulletproof/,,34.0453978,-118.2342215,https://goo.gl/maps/oN1uffXuJA73QbA97
Bunner's,Bakery,"244 Augusta Ave, Toronto, ON M5T 2L7, Canada",http://www.bunners.ca/,1 647-350-2975,https://www.facebook.com/BunnersBakeShop,junction@bunners.ca,43.6606026,-79.4545761,https://goo.gl/maps/8mg4mHS4Hm1PBGn39
Bunner's,Bakery,"3054 Dundas St W, Toronto, ON M6P 1Z7, Canada",http://www.bunners.ca/,1 647-352-2975,https://www.facebook.com/BunnersBakeShop,junction@bunners.ca,43.6656916,-79.473634,https://goo.gl/maps/YGycM3EQZhH1p5QZ7
By the Way Bakery,Bakery,"2442 Broadway, New York, NY 10024, USA",http://www.btwbakery.com,1 212-988-3300,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com,40.9048591,-73.9404325,https://goo.gl/maps/SkqTF5UaA3DinNjXA
By the Way Bakery,Bakery,"1236 Lexington Ave, New York, NY 10028, USA",http://www.btwbakery.com,1 212-877-0806,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com,40.9046896,-73.9404332,https://goo.gl/maps/KhDirzgYnKwyiz9n6
By the Way Bakery,Bakery,"19 E Putnam Ave, Greenwich, CT 06830, USA",http://www.btwbakery.com,1 914-478-0555,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com,40.9048591,-73.9404325,https://goo.gl/maps/tqAXzajsaQueAMzd9
By the Way Bakery,Bakery,"574 Warburton Ave, Hastings-On-Hudson, NY 10706, USA",http://www.btwbakery.com,1 203-489-3610,https://www.facebook.com/bythewaybakery/,helene@btwbakery.com,40.9046896,-73.9404332,https://goo.gl/maps/8Rwa3afhDtNy5mZX6
Cafe Avalaun,Cafe/Restaurant,"4640 Richmond Rd #200, Cleveland, OH 44128, USA",http://www.cafeavalaun.com,1 216-245-6666,http://www.facebook.com/cafeavalaun,cafeavalaun@gmail.com,41.4338857,",-81.5006722",https://goo.gl/maps/VumJ4ohcmGLHmaYTA
Cafe Henkel,Cafe,"102 Henkel St, Brunswick VIC 3056, Australia",,61 3 9381 0099,https://www.facebook.com/cafehenkel/?ref=br_rs,,-37.7650379,144.9522691,https://goo.gl/maps/NF4sPMBX3WkDTZhB9
Cafe Mareva,Cafe,"38 Rue du Faubourg du Temple, 75011 Paris, France",https://www.cafemareva.com/,33 1 43 38 64 57,https://www.facebook.com/cafemareva/,info@cafemareva.com,48.8691412,2.3666096,https://goo.gl/maps/PuAHGuwrX8jnYwdbA
Cafe Umami,Cafe,"2224 MacArthur Blvd, Oakland, CA 94602, USA",,61 3 6442 4799,https://www.facebook.com/cafeumami60/,,37.800379,-122.2176637,https://goo.gl/maps/HXqqH3sTRAbpBL3K8
Caffe Strada,Cafe,"2300 College Ave, Berkeley, CA 94704, USA",http://www.caffestrada.com.au,61 3 9497 4875,https://www.facebook.com/Caffe-Strada-150125135026435/,info@caffestrada.com.au,37.869146,-122.2570477,https://goo.gl/maps/nhoyTWFdMmjS92yi6
Cal Marius,Restaurant,"Carrer de Mallorca, 449, 08013 Barcelona, Spain",http://www.calmarius.es,34 674 91 06 70,https://www.facebook.com/calmarius452/,info@calmarius.es,41.4058854,2.1761814,https://goo.gl/maps/2kpMz6QjF2ff7iXJ9
Capitol Cider,Restaurant,"818 E Pike St, Seattle, WA 98122, USA",http://capitolcider.com,1 206-397-3564,https://www.facebook.com/CapitolCider,info@capitolcider.com,47.614212,-122.3233237,https://goo.gl/maps/fNef7Ra6jSuB37Pp8
Carmine,Bakery,"Corso Antonio Gramsci 22
",,39 393 102 2864,https://www.facebook.com/carminebiorganic/?ref=nf,,,,
Cav?,Cafe/Restaurant,515 Sylvania Avenue,https://www.cavepaleoeatery.com/,1 732-776-8556,,cavepaleoeatery@gmail.com,40.192541,-74.0234105,https://goo.gl/maps/C5FcimikXC2NDhRX8
Celiac Specialties Gluten Free Bakery,Bakery,"1928 Star-Batt Dr D, Rochester Hills, MI 48309, USA",http://www.baking-glutenfree.com/,1 248-860-0680,https://www.facebook.com/CeliacSpecialties/,priscilla@baking-glutenfree.com,42.648343,-83.1710417,https://goo.gl/maps/7KTua8TmYKbjH5HH9
Celicioso ,Bakery,"Calle del Barquillo, 19, 28004 Madrid, Spain",http://www.celicioso.com/default.aspx,34 915 31 88 87,,,38.4418088,-6.5543703,https://goo.gl/maps/wMzbjEFjpicwdPTG8
Celicioso Costa Rica,Bakery,"San Jos? Province, San Rafael de Escaz?, Costa Rica",http://www.celiciosocr.com,506 8420 5800,https://www.facebook.com/celiciosocr/,,9.9369171,-84.1537213,https://goo.gl/maps/gAhrfaGHD3XAtcLS9
Likuram,Bakery,"1 Pte 1372, Vi?a del Mar, Regi?n de Valpara?so, Chile",,56 32 346 4777,https://www.facebook.com/likuramglutenfree/,,-33.0082594,-71.5519447,https://goo.gl/maps/G6D3dXwnUpzmQAA49
Celifamily Gluten Free,Bakery,"Coronel Santiago, Bueras 67, Rancagua, Regi?n del Libertador Gral. Bernardo O?Higgins, Chile",http://www.celifamilyglutenfree.cl,56 9 5284 3115,https://www.facebook.com/celifamilyglutenfree/,,-34.1659393,-70.7462827,https://goo.gl/maps/cUEZk4XdUyoyMLjj7
Chaia ,Restaurant,"3207 Grace St NW, Washington, DC 20007, USA",https://www.chaiadc.com/,1 202-333-5222,https://www.facebook.com/ChaiaDCtacos,info@chaiadc.com,38.9041121,-77.0654492,https://goo.gl/maps/CrDV2vro7sVee84d8
Chambelland,Bakery,"14 Rue Ternaux, 75011 Paris, France",http://chambelland.com/,33 1 43 55 07 30,https://www.facebook.com/boulangeriechambelland?fref=ts,contact@chambelland.com,48.8644193,2.3711935,https://goo.gl/maps/wMK5hcKMpP5Hkvy19
Chambelland,Bakery,"Avenue de l'Universit? 42, 1050 Ixelles, Belgium",http://chambelland.com/,32 2 751 48 44,https://www.facebook.com/boulangeriechambelland?fref=ts,contact@chambelland.com,50.8146874,4.3855966,https://goo.gl/maps/TWremqkkoNET2VPR6
Cherbourg Bakery,Bakery,"541 S Drexel Ave, Bexley, OH 43209, USA",http://www.cherbourgbakery.com/,1 614-725-4560 ,https://www.facebook.com/Cherbourg-Bakery-171087912917457/,info@cherbourgbakery.com,39.9576705,-82.9404605,https://goo.gl/maps/Cd35Szrc63YbXAak7
Chiang Mai Gluten-free CakeAway,Bakery/Cafe,"19 Wua Lai Rd, Tambon Hai Ya, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50100, Thailand",,66 93 291 9361,https://www.facebook.com/Chiang-Mai-Gluten-free-CakeAway-Pink-House-Garden-372551956286935/,,18.7797344,98.9812949,https://goo.gl/maps/DkFP9D6o99uqSRk2A
Chingon ,Restaurant,413 Swan St,http://www.chingon.com.au,61 3 9429 5695,https://www.facebook.com/pages/Ching?n-Cantina-Y-Taqueria/261503560624672,bookings@chingon.com.au,,,
