name,category,Website,phone_no,fb_address,contact_email,lat,lng,map_id,street,city
The Juice Laundry,Cafe,https://www.thejuicelaundry.com/,1 434-234-3044,,,38.0358099,-78.4902007,https://goo.gl/maps/QHVAYdm9Ysgau9Fw7,"200 Este de la Iglesia Santa Teresita
Barrio Escalante","San José, Costa Rica"
Taco Revolution,Food Truck,http://www.tacorevolution.ca/,1 250-244-6492,https://www.facebook.com/TacoRev,uprise@tacorevolution.ca,,,,11 3rd St,"Hood River, OR 97031"
Hell Yeah Gluten Free,Online,https://www.hygf.co/,1 813-514-5275,,,,,,24 Arden Street,"Waverley, New South Wales, Australia"
Ella's Bellas,Bakery/Cafe,,1 845-765-8502,,,41.5028933,-73.9660722,https://goo.gl/maps/QB7nHy6nrhy1co577,online,"Sydney, Australia"
Della Bowls,Online,http://www.dellabowls.com/,1 786-813-5682,,,,,,"Valladolid 76 A, Roma Nte., 06700
","Ciudad de México, CDMX, Mexico
 "
Cure Cafe,Cafe,https://www.curecafemiami.com,1 786-601-1949,,,25.7580861,-80.1991486,https://goo.gl/maps/fbterZX9HTFiKwLt5,"Diputación 361/Paseo San Juan
","Barcelona, Spain 08009"
Manna Life Food,Cafe,http://mannalifefood.com,1 786-717-5060,,,25.7750353,-80.1905546,https://goo.gl/maps/fT8HGSb1mHXA1pT97,4 Shin Hing Street,Central Hong Kong
Chocolatree,Cafe/Restaurant,https://chocolatree.com/,1 928-282-2997,,,34.862984,-111.7885358,https://goo.gl/maps/ugRMugdykNGMrGN38,3613 Sacramento St,"t
San Francisco, CA 94118
"
Gluten Free is the New Black,Bakery,https://www.glutenfreeisthenewblack.info/,81 80-6189-7925,,,34.6858613,135.8214766,https://goo.gl/maps/Q1xuSYzzpERpaukF7,3 Chome-3-9-47 Yuigahama,"Kamakura-shi, Kanagawa-ken, Japan 248-0014"
Revitalive Cafe & Juice Bar,Cafe,http://www.revitalive.com/,1 855-584-2328,,,42.8096048,-70.8680033,https://goo.gl/maps/6Lxgo6RmxkV5qqEg9,114B Grange Ave.,"Ottawa, Ontario, Canada K1Y 3B1"
Revitalive Cafe & Juice Bar,Cafe,http://www.revitalive.com/,1 855-584-2328,,,42.6537544,-71.1393162,https://goo.gl/maps/pLnokQQtQLwJRTV97,498 Salmon Brook St,"Granby, CT 06035"
Mother Juice,Cafe,http://www.motherjuice.com/,1 617-945-7357,,,42.3644678,-71.0820873,https://goo.gl/maps/nQPY6ZhYiGHQs4nG7,2Q5F+QG Kyoto,"Kyoto Prefecture, Japan"
Mother Juice,Cafe,http://www.motherjuice.com/,1 857-263-7401,,,42.3489804,-71.0851993,https://goo.gl/maps/h6EpHgAhUQ2PUxoi9,Domanjševci 139,Domanjševci 9206 Križevci v Prekmurju
Mother Juice,Cafe,http://www.motherjuice.com/,,,,42.3620748,-71.057869,https://goo.gl/maps/E2dQNKQ6bhSLo4dj8,"1654 N Coast Hwy
","Newport, OR 97365
"
Thirst Juice Co.,Cafe,http://www.thirstjuiceco.com/,1 857-233-4535,,,42.3576138,-71.0599424,https://goo.gl/maps/UqeViDTemSBBgtnh6,"1411 University Ave.
","Charlottesville, VA 22903
"
Brodo - Upper West Side,Cafe,https://www.brodo.com/,1 646-858-1494,,,40.7809997,-73.9809168,https://goo.gl/maps/BfTb7zvvrXgmeZQr5,"722 Preston Ave. Ste 105
","Charlottesville, VA 22903
"
Brodo - SoHo,Cafe,https://www.brodo.com/,1 646-490-4010,,,40.7225121,-73.9973379,https://goo.gl/maps/ACHo4T9kRupNbBEp9,check online for location,"Vancouver, Canada"
Brodo - Upper West Side,Cafe,https://www.brodo.com/,1 646-844-1862,,,40.7810299,-73.9810979,https://goo.gl/maps/BxCA7JQsjKxMg4VC8,Order online,"Atlanta, GA"
Brodo - East Village,Cafe,https://www.brodo.com/,1 646-602-1300,,,40.7300511,-73.9834179,https://goo.gl/maps/HZ8UjtKRLdSn7c6VA,418 Main Street,"Beacon, NY 12508"
Pure Organic Kitchen & Juicery,Cafe,https://www.facebook.com/purevashon/,1 206-259-3179,,,47.4472944,-122.4616145,https://goo.gl/maps/1QqxYHDsmDERDFQo9,56 NW 29th St,"Miami, FL 33127"
Longevity Foods,Cafe,https://longevityfoodz.com/index.html,1 425-788-2332,,,47.73337,-121.9880878,https://goo.gl/maps/ocz1ZJnkaDXuBpQT7,1800 SW 1st Ave,"Miami, FL 33129"
Viva Tacoma,Restaurant,http://www.viva4life.com/,1 253-503-6498,,,47.2713802,-122.4894341,https://goo.gl/maps/xvhQdUzeh9xpfAAM9,80 NE 2nd Ave.,"Miami, FL 33132"
Café Organique,Cafe,http://www.cafeorganique.us/,1 425-298-4575,,,47.7055792,-122.2104622,https://goo.gl/maps/3UU89r4y4CDmmRjs8,"1650 W. SR 89A Ste. A
","Sedona, AZ 86336
"
Aime's Love,Bakery/Cafe,http://www.aimeslove.com/,1 720-340-4636,,,40.1645903,-105.103016,https://goo.gl/maps/mCz3W3gxu3GSqz2a9,"601 E Piccadilly Dr #35
","Flagstaff, AZ 86001
"
Boulder Tamales,Catering/Meal Delivery,http://www.bouldertamales.com,1 303-415-1916,,,39.9984621,-105.2536525,https://goo.gl/maps/ivbakyYPgZoVz4HN7,"1595 W State Route 89A
","Sedona, AZ 86336
"
Thrive,Restaurant,http://thriveraw.com/,1 720-616-7785,,thriveraw@gmail.com,40.0148806,-105.2744671,https://goo.gl/maps/EtHmduiPSpKbnPP76,"??? 11-43??????? ????
??? 114?
","Nara, Japan 630-8114"
honey B's macarons,Bakery,,1 303-565-6700,https://www.facebook.com/honeybsmacarons/,,39.5592891,-104.9880292,https://goo.gl/maps/6q4o196JCR9JvkQF8,50 Water Street,"Newburyport, MA 01950"
Butterfly Belly Asian Cuisine,Restaurant,http://www.butterflybellyasiancuisine.com/,1 503-788-7327,,,45.525577,-122.6797456,https://g.page/ButterflyBellyPho?share,93 Main St,"Andover, MA 01810"
Prasad,Restaurant,https://www.prasadpdx.com/,1 503-224-3993,,info@prasadpdx.com,45.5232126,-122.6540579,https://goo.gl/maps/HkPLp5bfHbHLSMWaA,"625 West Kendall St.
","Cambridge, MA 02142
"
Bang Bang,Restaurant,http://www.bangbangpdx.com/,1 503-287-3846,,,45.548548,-122.6145581,https://goo.gl/maps/VZvk8qAbeg4Wxb5o7,"291 Newbury St.
","Boston, MA 02115"
Pines Coffee,Cafe,https://www.pinescoffee.co/,1 360-524-2748,,,45.624342,-122.5900708,https://goo.gl/maps/SPFWR7M5sgRCnRQXA,100 Hanover St.,"Boston, MA 02108"
Rolling Table Newberg,Food Truck,,1 360-525-7606,https://www.facebook.com/rollingtablenewberg/,,45.3000348,-122.9701665,https://goo.gl/maps/wmybJfyXbmtQvE6d8,44 School St,"Boston, MA 02108"
Delta Blues Hot Tamales,Restaurant,https://www.deltablueshottamales.com/,1 205-502-7298,,,33.4978152,-86.7953067,https://goo.gl/maps/ySjFMuTxFmeUzm1DA,2144 Broadway,"New York, NY 10023"
Hype Food Co.,Cafe/Restaurant,https://www.hypefoodco.ca/,1 416-840-7430,,media@hypefoodco.ca,43.669294,-79.3360048,https://g.page/HypeFoodCo?share,236 Lafayette St,"New York, NY 10012"
Misters,Cafe,https://misters.co/,64 9-379 9939,,hello@misters.co,-36.847448,174.7648802,https://goo.gl/maps/LQSuXpzSzLx4mhE96,281 Bleecker St,"New York, NY 10014"
Gluten Free Donuts,Online,,61 407 924 655,https://www.facebook.com/gfreedonuts/,,,,,200 1st Avenue,"New York, NY 10009"
Taco Medic,Food Truck,,64 3-442 8174,https://www.facebook.com/tacomedic/,,-45.0327833,168.6608994,https://goo.gl/maps/m2xHqKDQp6qz3DVS9,20 West 20th street Suite 215,"New York, NY 10011"
Blue Moon Bakery,Bakery,https://www.bluemoonbakingco.com/,1 503-730-2844,,bluemoonbakery@gmail.com,45.516577,-122.9838624,https://goo.gl/maps/eW4tuprzZFzMK2uv8,"9925 SW Bank Rd
","Vashon, WA 98070
"
Health Freak Cafe Busselton,Cafe,http://www.healthfreakcafe.com.au/,61 8 9754 6590,,,-33.6556058,115.3403313,https://goo.gl/maps/2G9tGv39oBGoa2En7,3308 Uddenberg Lane,"
Gig Harbor, WA 98335"
Health Freak Cafe Joondalup,Cafe,http://www.healthfreakcafe.com.au/,61 8 9301 5547,,,-31.7443269,115.7672283,https://goo.gl/maps/EruQDsxx1xeGynw16,14701 Main Street NE Suite A1,"Duvall, WA 98109"
Health Freak Cafe Cockburn,Cafe,http://www.healthfreakcafe.com.au/,61 8 9414 6799,,,-32.130624,115.8571073,https://goo.gl/maps/UDa1pQPQHVkjNrjTA,"2602 N Proctor St Ste D
","Tacoma, WA 98407
"
Health Freak Cafe Applecross,Cafe,http://www.healthfreakcafe.com.au/,61 8 6150 7011,,,-32.0210822,115.8348698,https://goo.gl/maps/P997JamN5ussGqjc8,"11656 98th Ave NE
","Kirkland, WA 98034
"
Health Freak Cafe Scarborough,Cafe,http://www.healthfreakcafe.com.au/,61 8 9245 3761,,,-31.8933673,115.7595358,https://goo.gl/maps/hWLwTTNKhrZTkzuo6,94 Leonard Street,"London, UK EC2A 4RH"
Health Freak Cafe South Perth,Cafe,http://www.healthfreakcafe.com.au/,61 8 9474 2729,,,-31.9725713,115.8523356,https://goo.gl/maps/Bbs9YEUeg6tKi74w8,26 Chapel Hill,"Huddersfield, UK HD1 3EB"
Health Freak Cafe Kings Park,Cafe,http://www.healthfreakcafe.com.au/,61 (08) 9321 2279,,,31.9563496,31.9563496,https://goo.gl/maps/1ZdaaEAFSTyycvh59,331 Main Street,"Longmont, CO 80501"
Health Freak Cafe North Ryde,Cafe,http://www.healthfreakcafe.com.au/,61 2 9888 6282,,,-33.7768932,"151.1192339,",https://goo.gl/maps/JhK2iyhZiSo2JYAv5,"Pick up by appointment from
upstairs kitchen at The Boulder Broker:
555 30th St., ","Boulder, CO 80303"
Kith & Kin Bakeshop,Bakery,http://www.kkbakeshop.com/,1 716-471-3305,https://www.facebook.com/KithandKinBakeshopandBistro/,,43.1404172,-78.6974282,https://goo.gl/maps/EoZzR5oBqkFzuYxC7,"1509 Arapahoe Ave
","Boulder, CO 80302
"
Iki Japanese Bistro,Restaurant,https://lazymeal.com/menu/iki?frame=t,1 604-876-4114,https://www.facebook.com/Iki-Japanese-Bistro-244511665676500/,,49.2638546,-123.1675515,https://goo.gl/maps/p7GYEwbEiGRMkd5J8,40 Springer Dr,"Highlands Ranch, CO 80129"
SushiLOVE,Food Truck,,,https://www.facebook.com/sushilovepdx/,,45.5169524,-122.6395617,https://goo.gl/maps/wU4VLjNtVZk5TaFq5,"6036 SE Division St
","Portland, OR 97206
"
Teote ,Restaurant,http://www.teotepdx.com/,1 971-888-5281,,,45.5114622,-122.6560631,https://goo.gl/maps/4Fw6CMdsBVN8v3CY9,"21 NE 12th Ave.
","Portland, OR 97232
"
Schilling Cider House,Restaurant,https://www.schillingciderhouse.com/,1 971-352-6109,,jennie@schillingcider.com,45.5304125,-122.6766789,https://goo.gl/maps/GaTeCcmCBUfFSiEb9,"4727 NE Fremont
","Portland, OR 97213
"
Life is Sweet Bakery & Cafe,Bakery/Cafe,https://lifeissweetbakeryandcafe.com/,1 925-718-5818,,,37.8215388,-122.0016064,https://goo.gl/maps/q7wY3PPyVX45Dpiz8,"8086 E Mill Plain Blvd
","Vancouver, WA 98664
"
Simple Superfood Cafe,Cafe,https://www.simplesuperfoodcafe.com/,1 563-355-9000,,,41.5384842,-90.59003,https://goo.gl/maps/S8x72CGd79DKunU46,"910 E 1st St
","Newberg, OR 97132
"
Organic Bliss Deli & Bakery,Bakery/Cafe,http://organicblissmarket.com/,1 419-517-7,,,41.6836515,-83.7236053,https://goo.gl/maps/PXQSyDUwE1yUqcHj7,"1318 Cobb Ln
","Birmingham, AL 35205"
Renee's Gourmet Pizzeria,Restaurant,http://www.reneesgourmetpizzeria.com/,1 248-280-7800,,,42.5467866,-83.1719216,https://goo.gl/maps/p24N3qhfbo5E5wYJ7,1060 Gerrard St E,"Toronto, Ontario, Canada M4M 1Z8"
Renee's Gourmet Pizzeria,Restaurant,http://www.reneesgourmetpizzeria.com/,1 248-208-6000,,,42.5053756,-83.3183501,https://goo.gl/maps/i5zQD1qjp3wnSWE89,155 Long Road “Gallery Walk”     ,"Eagle Heights, Queensland 4272"
Vibe Organic Kitchen & Juice,Cafe,https://www.eatdrinkvibe.com/,1 949-478-4118,https://www.facebook.com/eatdrinkvibe/,hello@eatdrinkvibe.com,33.6585696,-117.8672521,https://goo.gl/maps/exfsX6SzMfHSCvW7A,"Ground Floor, 12 Wyndham St.
","Auckland City, New Zealand"
Rae Rae's,Bakery,http://raeraesbakery.com/,1 406-534-2609,https://www.facebook.com/raeraesbakery/,tselkranch@gmail.com,45.7850448,-108.5893434,https://g.page/raeraesbakery?share,look online to find them!,"Queensland, Australia"
Betty BOT,Bakery,https://squareup.com/store/bettybot-shop,1 773-495-4615,https://www.facebook.com/botbakery/,,41.7659977,-87.5631092,https://goo.gl/maps/VosRYeynK4w2y4sc6,South Searle Lane,"Queenstown, New Zealand 9300"
Spudz Fish and Chips,Cafe,https://www.spudz.kiwi/,64 7-562 8004,https://www.facebook.com/spudzcafe/,spudzacc@gmail.com,-37.7513646,176.1044612,https://goo.gl/maps/xMxyJxhwkMLRf9tU6,"560 SE 4th Ave
","Hillsboro, OR 97123"
Pan Per Me,Bakery,http://www.panperme.it/,39 02-3598 8094,https://www.facebook.com/panperme/,panperme@panperme.it,45.4593946,9.206665,https://goo.gl/maps/nFEsrcLPesCMbNjd6,"Shop 2, Power Centre Bussleton
86 West Street","West Bussleton, Western Australia 6280"
Boris Bistro,Restaurant,http://borisbistro.com/en/,1 514-848-9575,https://www.facebook.com/borisbistro/,,45.5009305,-73.5586351,https://goo.gl/maps/ZVm3T3WaSguP54eE8,420 Joondalup Drive,"Joondalup, Western Australia 6027"
Edible Options,Bakery,https://stcatharinesstreet.com/2017/07/02/edible-options-bakery-house/,1 905-688-1000,https://m.facebook.com/Edible-Options-454474674651965/?__tn__=%2Cg,jessie@stcatharinesstreet.com,43.1539903,-79.2753991,https://goo.gl/maps/JPSr3RWprNPZjMD5A,"Shop G-333 Cockburn Gateway
Shopping City, 816 Beeliar Drive","Success, Western Australia 6164"
Crystany's Brasserie,Restaurant,https://crystanysbrasserie.com/,1 902-582-3663,https://www.facebook.com/crystanysbrasserie/,,45.157106,-64.420102,https://goo.gl/maps/qyxfASnrH6FHtYof6,22 Scarborough Beach Rd,"Scarborough, Western Australia 6019"
Crumbs & Roses,Bakery,http://crumbsandroses.ca/wp/,1 250-575-0154,https://www.facebook.com/Crumbsandroses/,info@crumbsandroses.ca,49.8847061,-119.4222785,https://goo.gl/maps/PxxsoVmr4NxEe7Sj6,"Shop 5, 787 Canning Highway
Cnr of Kearns Cres","Applecross, Western Australia 6153"
Kinnikinnick,Bakery,https://getitfresh.ca/,1 780-732-7527,https://www.facebook.com/KinnikinnickGF/,,53.5572162,-113.5291728,https://goo.gl/maps/Xj8Y2YS2vNBVGHWw5,"Shop 37B, 85 The Esplanade","South Perth, Western Australia 6151"
Wild Orchid,Restaurant,http://www.wildorchidbistro.com/,1 403-675-0755,https://www.facebook.com/WildOrchidAsianBistro/,dine@wildorchidbistro.com,51.100708,-115.359167,https://goo.gl/maps/V4oJpyPCSVmyQyZU8,"1st Level, Quest Apartments
(Bottom of Jacobs Ladder) 130 Mounts Bay Road
","Perth, Western Australia 6000"
GlutenNo,Restaurant,http://www.glutenno.rs/en/welcome/,381 66 6306042,https://www.facebook.com/glutenNo1/,info@glutenno.rs,44.8054185,20.4090517,https://goo.gl/maps/Np5yr8MqU6mGSHcYA,"Shop 3347 Macquarie Centre
Herring & Waterloo Road","North Ryde New South Wales, Australia 2113"
Sintaxis Gluten Free,Restaurant,http://www.sintaxisglutenfree.com/,54 11 2071-2960 ,https://www.facebook.com/SintaxisGlutenFree/,,-34.586277,-58.4274666,https://goo.gl/maps/GooPTr3fKeGoMMW27,5850 South Transit Road,"Lockport , NY 14094"
Mor Bakery & Cafe,Bakery/Cafe,http://www.morfoodsmke.com/,1 414-249-3316,https://www.facebook.com/morfoodsmke/,info@morfoodsmke.com,43.0075916,-87.9105246,https://g.page/morbakeryandcafe?share,633 East 15th Avenue,"Vancouver, British Columbia, Canada V5T 2R6
"
Wauwatiki Bar & Grill,Restaurant,https://www.wauwatikis.com/,1 414-323-7555,https://www.facebook.com/Wauwatiki/,Wauwatikisbar@gmail.com,43.0609544,-87.9938335,https://goo.gl/maps/VT876QTzSRzqxFmv7,"1112 SE Tacoma St
","Portland, OR 97202"
Café Grüner Salon,Cafe,http://gruener-salon.at/,43 677 61965445,https://www.facebook.com/cafegruenersalon/,cafe@gruener-salon.at,48.1938797,16.3483988,https://goo.gl/maps/57eJE3riHY6NmCJH6,"1615 SE 12th Ave.
","Portland, OR 97214
"
Vegana Indiana,Restaurant,http://www.vegana-indiana.at/,43 1 8102300,https://www.facebook.com/veganaindiana/,office@vegana-indiana.at,48.1836963,16.3331412,https://goo.gl/maps/Z1kMzrej33ECTWCW9,930 SE 10th Ave,"Portland, OR 97214"
Wave the Grain,Bakery,https://wavethegrain.com/,1 303-721-7547,https://www.facebook.com/WaveTheGRAIN/,info@wavethegrain.com,39.5679554,-104.9222525,https://g.page/WaveTheGRAIN?share,"155 Railroad Avenue
","Danville, California 94526"
Fox and Son Fancy Corn Dogs,Food Truck,http://www.foxandsonphilly.com/,1 215-372-7935,https://www.facebook.com/foxandsonphilly/,foxandsonphilly@gmail.com,39.953104,-75.158998,https://goo.gl/maps/AaM1BVSUtDuexhF67,2209 Falcon Ave,"Bettendorf, IA 52722"
Wilder Wood,Restaurant,http://www.wilderwoodrestaurantandbar.com/,1 512-628-0184,https://www.facebook.com/wilderwoodaustin/,,30.2650289,-97.7286528,https://goo.gl/maps/bvijj4z7NZeSGNRN9,1132 West Locust Street,"Davenport, IA 52804"
Pie Jacked,Bakery,http://piejacked.wixsite.com/glutenfreepies,1 512-815-7959,https://www.facebook.com/PieJacked/,PieJacked@gmail.com,30.497956,-97.675439,https://goo.gl/maps/fsnpqpoHvbnPhdhC9,"Sylvania, OH 43617","Sylvania, OH"
Nancy's Sky Garden,Cafe,http://www.nancysskygarden.com/,1 512-554-2060,https://www.facebook.com/nancysskygarden,,30.6388744,-97.6779105,https://goo.gl/maps/mRYbRzsuBX8eQnQh9,1937 W. Maple Rd.,"Troy, MI 48084"
Zero Zero Grano,Restaurant,http://www.zerozerograno.it/,39 081 060 6698,https://www.facebook.com/zerozerograno/,info@zerozerograno.it,40.8375469,14.2469557,https://goo.gl/maps/w1SY195LXkgjnsLH9,29705 Northwestern Hwy.,"Southfield, MI 48034"
Amiette Gluten Free Bakery,Bakery,http://www.amiette.com/,34 935 30 79 06,https://www.facebook.com/AmietteBakery/,,41.3779474,2.1570735,https://goo.gl/maps/iwRGRxfZA6JjX3cy6,6909 Melrose Ave.,"Los Angeles, CA 90038"
Rio Gostoso,Cafe,http://www.riogostoso.at/,,https://www.facebook.com/riogostoso/,info@riogostoso.at,48.1952683,16.3668513,https://goo.gl/maps/Twe9RHnFHcwykzYTA,1000 Bristol St N,"Newport Beach, California 92660"
Ballin' Out,Food Truck,https://ballinoutco.com/,1 720-295-7115,https://www.facebook.com/ballinoutco/,info@ballinoutco.com,N/A,N/A,N/A,1505 Rehberg Lane,"Billings, MT 59102"
Mediterranea Restaurant & Bakery,Restaurant,https://www.mediterraneaatl.com,1 404-748-4219,https://www.facebook.com/MediterraneaATL/,info@mediterraneaatl.com,33.7316334,-84.3767904,https://goo.gl/maps/RQWHLq6ALV5QYweV9,7100 S Shore Drive 1st Floor,"Chicago, IL 60649"
The Wild Muffin,Bakery,http://www.glutenfreebakerynashvilletn.com/,1 615-353-3998,https://www.facebook.com/glutenfreebakerynashvilletn/,form on website,36.129007,-86.90273,https://goo.gl/maps/y5y2X3xPngbGiAG89,"Unit 4/1 Caslani Lane, Pyes Pa","Tauranga, New Zealand 3112"
Rolln,Cafe,https://www.rollnco.com,1 646-869-0826,https://www.facebook.com/rollnco/,info@rollnco.com,40.7403714,-73.9874137,https://g.page/rolln?share,Viale Monte Nero 57,"Milan, Italy"
Red Oak Bakery,Bakery,http://redoakbakery.com/,1 830-609-9912,https://www.facebook.com/TheRedOakBakery/,redoakbakery@gmail.com,29.6973623,-98.1191609,https://goo.gl/maps/yUTdgqKJw1B81ESCA,465 McGill St.,"Montreal, Quebec, Canada H2Y 2H1"
Nourish Bakery,Bakery,https://nourishbakery.ca/,1 709-747-2867,https://www.facebook.com/NourishNewfoundland/,Info@nourishbakery.ca,47.534278,-52.840394,https://goo.gl/maps/CjKn6F89qGjTycHt5,"300 E Fourth Avenue, Unit 7","St. Catharine’s, Canada L2R 6P9"
pikanik,Bakery,https://pikanik.ca/,1 604-210-6585,https://www.facebook.com/pikanikcreations/,questions@pikanik.ca,49.037943,-122.801525,https://goo.gl/maps/dWa4r7cxb6T2BRxv8,9848 NS-221,"Canning, Nova Scotia, Canada B0P 1H0, CA"
ATX Cocina,Restaurant,http://atxcocina.com/,1 512-263-233,https://www.facebook.com/ATXCocina/,ATXInfo@atxcocina.com,30.2649158,-97.7493159,https://goo.gl/maps/DWrCQU3w3vV6xNXo9,443 Banks Rd.,"Kelowna, British Columbia, Canada V1X 7C6"
Fiocco di Neve,Ice Cream/Gelato,,39 06 8880 5474,https://www.facebook.com/FioccodiNeveRoma/,,41.8999302,12.4766663,https://goo.gl/maps/E1LHdTSpjRAqVA3a7,10940-120 Street,"Edmonton, Alberta, Canada T5h 3P7"
Chomp Vegan Eatery,Cafe/Restaurant,https://www.chompveganeatery.com,1 604-917-0201,https://www.facebook.com/chompveganeatery/?tn-str=k*F,info@chompveganeatery.com,49.281013,-123.059116,https://goo.gl/maps/bUVeXi2BgPAxNhNN9,"1818 Mountain Ave
","Canmore, Alberta, Canada"
East London Juice Co.,Cafe,https://eastlondonjuice.com/,44 7553 791315,https://www.facebook.com/eastlondonjuice/,,51.5254162,-0.0772849,https://goo.gl/maps/wcD5rRKRGMpkx2jL8,"Jurija Gagarina 14e, naselje Belville,
Zgrada Ljubicica, lokal 11","Novi Beograd, Serbia 11070"
Grom,Ice Cream/Gelato,https://www.grom.it/en/gelateria-London.html,44 20 7287 5300,https://www.facebook.com/GromItalia/,,51.50959,-0.135702,https://goo.gl/maps/YNdXFRXRX35Ufwpe9,"Nicaragua 4849
C1414 CABA","Buenos Aires, Argentina"
The Silly Yak,Bakery,https://sillyyak.ca/,1 613-583-2014,https://www.facebook.com/sillyyak.ca/,,44.2758025,-76.5740689,https://goo.gl/maps/hNUSK3mXwCWZxd2BA,"2018 S 1st St, Unit 102","Milwaukee, WI 53207"
Juliet Gluten Free Bakery,Bakery,https://www.e17glutenfree.com/,44 20 8509 3213,https://www.facebook.com/Julietglutenfreebakery/,,51.579841,-0.004023,https://goo.gl/maps/EX4j2KAvyPaFfKtC9,6502 W North Ave,"Wauwatosa, WI 53213"
Vida Bakery,Bakery,http://vidabakery.co.uk/,+44 7879 860108,https://www.facebook.com/vidabakery/,,51.5238826,-0.0715851,https://goo.gl/maps/8AfDUa5Z7pSYRTUo8,Hirschengasse 8,"Vienna, Austria 1060"
Ardiciocca,Restaurant,https://www.ardiciocca.com,44 20 3848 6830,https://www.facebook.com/ardicioccarestaurant/,info@ardiciocca.com,51.4804034,-0.1987162,https://goo.gl/maps/zo6SPpfugWLyz9vq7,Schönbrunnerstraße 235,"Vienna, Austria 1120"
Cafe-Creperie,Cafe,http://bearfoodsmarket.com/cafe-and-creperie/,1 509-682-5535,https://www.facebook.com/pages/category/Grocery-Store/Bear-Foods-Natural-Market-Caf%C3%A9Cr%C3%A9p%C3%A8rie-114176588594242/,contact@bearfoodsmarket.com,47.8401838,-120.0178408,https://goo.gl/maps/jwtwM6qeJBeLRyuSA,"8172 South Holly Street
","Centennial, CO 80122"
Mullner Gluten Free Bakery,Bakery,https://mullner-gluten-free-bakery-pastry-shop.negocio.site/,506 8847 3054,https://www.facebook.com/Mullner.12/,,9.9290366,-84.1083901,https://goo.gl/maps/KRSHGrqHvQxN4Ht38,"51 N. 12th Street
","Philadelphia, PA 19107
"
Marie Anita's Gluten Free Health Cafe,Cafe,www.marieanitas.com.au,61 07 3857 3456,https://www.facebook.com/marieanitas/,eat@marieanitas.com.au,-28.050332,153.435951,https://goo.gl/maps/CAo11JCYcgHpG6X87,"1300 E 7th St.
","Austin, Texas 78702
"
Sweet Pepper Venezuelan Food Bar,Cafe,https://www.sweetpepperchgo.com/,1 872-208-5665,https://www.facebook.com/sweetpepperchicago/,SWEETPEPPERCHICAGO@GMAIL.COM,41.9687789,-87.69417,https://g.page/sweetpepperchicago?share,"1105 S Mays St, Ste. 200
","Round Rock, TX 78664
"
Sundail Gluten-Free Cafe,Cafe,https://www.sundialcafeeugene.com/,1 541-636-3838,https://www.facebook.com/sundialcafe55/,,44.0330337,-123.081509,https://goo.gl/maps/iJ74djBX17iJXT1D9,"501 S Austin Ave, 4th Floor
","Georgetown, TX 78626
"
